t|obj_id
34|4380 with 4321
34|4624 with 4380
34|4667 with 3803
34|4667 with 4380
34|4721 with 3803
34|4721 with 4667
34|4733 with 4721
34|4733 with 3803
34|4733 with 4276
34|4733 with 4321
34|4733 with 4380
34|4733 with 4667
34|2430 with 2497
34|2430 with 2617
34|2430 with 3795
34|4991 with 4857
34|6990 with 4857
34|6990 with 4867
34|6990 with 4991
34|7078 with 4857
34|7078 with 4991
34|7078 with 6990
34|8174 with 6990
34|8245 with 4857
34|8245 with 4867
34|8245 with 4991
34|8245 with 7078
34|4733 with 2497
34|4733 with 2617
34|4733 with 3795
34|4733 with 4721
34|9072 with 8720
34|9188 with 8720
34|9188 with 9072
34|9750 with 9536
34|9765 with 8720
34|9765 with 9072
34|9765 with 9188
34|9765 with 9536
34|8245 with 2497
34|8245 with 2617
34|8245 with 3795
34|8245 with 4721
34|9900 with 9837
34|7902 with 6459
34|7662 with 7015
34|5550 with 4353
34|4987 with 3438
34|8530 with 8502
34|2858 with 2330
35|9778 with 9765
35|9837 with 9765
35|9837 with 9778
35|9900 with 9837
35|9900 with 9765
35|9900 with 9778
35|2497 with 2520
35|2497 with 2617
35|2497 with 2831
35|2497 with 3803
35|2497 with 3831
35|2497 with 4118
35|6900 with 5987
35|2520 with 2497
35|2617 with 2497
35|2617 with 2520
35|2831 with 2520
35|2831 with 2617
35|4118 with 3831
35|4321 with 4276
35|4380 with 4321
35|4624 with 4380
35|4667 with 4380
35|4721 with 4667
35|4733 with 4276
35|4733 with 4321
35|4733 with 4380
35|4733 with 4667
35|4733 with 4721
35|4857 with 4733
35|4857 with 4276
35|4857 with 4321
35|4867 with 4733
35|4867 with 4380
35|4867 with 4624
35|4867 with 4667
35|4733 with 4867
35|4733 with 4857
35|4733 with 4276
35|4733 with 4321
35|4733 with 4380
35|4733 with 4667
35|4733 with 4721
35|6990 with 4887
35|6990 with 4991
35|7078 with 4991
35|7078 with 6990
35|7318 with 4991
35|7318 with 6990
35|7318 with 7078
35|8174 with 4887
35|8174 with 6990
35|8245 with 4991
35|8245 with 7078
35|8245 with 7318
35|4867 with 4857
35|4867 with 2190
35|4867 with 2430
35|4867 with 3795
35|8720 with 8356
35|9072 with 8720
35|9188 with 8356
35|9188 with 8720
35|9188 with 9072
35|9370 with 8356
35|9542 with 9536
35|8245 with 4857
35|8245 with 2190
35|8245 with 2430
35|8245 with 3795
35|991 with 710
35|215 with 8266
35|1535 with 1298
35|4923 with 4459
35|9701 with 9443
36|9778 with 9765
36|9837 with 9765
36|9837 with 9778
36|9900 with 9837
36|9900 with 9765
36|9900 with 9778
36|2497 with 2520
36|2497 with 2617
36|2497 with 2831
36|2497 with 3803
36|2497 with 3831
36|2497 with 4118
36|6900 with 5987
36|2520 with 2497
36|2617 with 2497
36|2617 with 2520
36|2831 with 2520
36|2831 with 2617
36|4118 with 3831
36|4321 with 4276
36|4380 with 4321
36|4624 with 4380
36|4667 with 4380
36|4721 with 4667
36|4733 with 4276
36|4733 with 4321
36|4733 with 4380
36|4733 with 4667
36|4733 with 4721
36|4857 with 4733
36|4857 with 4276
36|4857 with 4321
36|4867 with 4733
36|4867 with 4380
36|4867 with 4624
36|4867 with 4667
36|4733 with 4867
36|4733 with 4857
36|4733 with 4276
36|4733 with 4321
36|4733 with 4380
36|4733 with 4667
36|4733 with 4721
36|6990 with 4887
36|6990 with 4991
36|7078 with 4991
36|7078 with 6990
36|7318 with 4991
36|7318 with 6990
36|7318 with 7078
36|8174 with 4887
36|8174 with 6990
36|8245 with 4991
36|8245 with 7078
36|8245 with 7318
36|4867 with 4857
36|4867 with 2190
36|4867 with 2430
36|4867 with 3795
36|8720 with 8356
36|9072 with 8720
36|9188 with 8356
36|9188 with 8720
36|9188 with 9072
36|9370 with 8356
36|9542 with 9536
36|8245 with 4857
36|8245 with 2190
36|8245 with 2430
36|8245 with 3795
36|991 with 710
36|4558 with 4047
36|1535 with 1298
36|1421 with 1409
36|2954 with 1974
37|9778 with 9765
37|9837 with 9765
37|9837 with 9778
37|9900 with 9837
37|9900 with 9765
37|9900 with 9778
37|2497 with 2520
37|2497 with 2617
37|2497 with 2831
37|2497 with 3803
37|2497 with 3831
37|2497 with 4118
37|6900 with 5987
37|8047 with 8009
37|2520 with 2497
37|2617 with 2497
37|2617 with 2520
37|2831 with 2520
37|2831 with 2617
37|4118 with 3831
37|4321 with 4276
37|4380 with 4321
37|4624 with 4380
37|4667 with 4380
37|4721 with 4667
37|4733 with 4276
37|4733 with 4321
37|4733 with 4380
37|4733 with 4667
37|4733 with 4721
37|4857 with 4733
37|4857 with 4276
37|4857 with 4321
37|4867 with 4733
37|4867 with 4380
37|4867 with 4624
37|4867 with 4667
37|4733 with 4867
37|4733 with 4857
37|4733 with 4276
37|4733 with 4321
37|4733 with 4380
37|4733 with 4667
37|4733 with 4721
37|6990 with 4887
37|6990 with 4991
37|7078 with 4991
37|7078 with 6990
37|7318 with 4991
37|7318 with 6990
37|7318 with 7078
37|8174 with 4887
37|8174 with 6990
37|8245 with 4991
37|8245 with 7078
37|8245 with 7318
37|4867 with 4857
37|4867 with 2190
37|4867 with 2430
37|4867 with 3795
37|8720 with 8356
37|9072 with 8720
37|9188 with 8356
37|9188 with 8720
37|9188 with 9072
37|9370 with 8356
37|9542 with 9536
37|8245 with 4857
37|8245 with 2190
37|8245 with 2430
37|8245 with 3795
37|5377 with 4701
37|991 with 710
37|5636 with 4611
37|4558 with 4047
37|1535 with 1298
37|1421 with 1409
37|2020 with 4579
37|2954 with 1974
38|9778 with 9765
38|9837 with 9765
38|9837 with 9778
38|9900 with 9837
38|9900 with 9765
38|9900 with 9778
38|2497 with 2520
38|2497 with 2617
38|2497 with 2831
38|2497 with 3803
38|2497 with 3831
38|2497 with 4118
38|6900 with 5987
38|8047 with 8009
38|2520 with 2497
38|2617 with 2497
38|2617 with 2520
38|2831 with 2520
38|2831 with 2617
38|4118 with 3831
38|4321 with 4276
38|4380 with 4321
